ID_CUAD;PRESENCE;BREEDING;FOREST;BROADLEAVED;ECOTONES;HUMANPOP;URBAN;RUG
17635;1;1;76.56;0.75;2.4;5.08;0.00697447;258.59
16497;1;0;54.51;0;1.84;102.75;0.06;206.92
16631;1;0;52.08;0;0;171;0.06;234.27
16784;1;1;63.22;0.44;7.62;46.34;0.1;182.93
16912;1;1;64.07;0.45;8.58;92;0.06;252.82
14693;1;0;19.57;0.01;0.23;117.17;0.07;28.47
17634;1;1;80.46;0.91;2.96;5.26;0.01;269.82
17072;1;1;71.28;0.12;2.74;27.55;0.03;202.07
17772;1;1;86.27;0.98;0.07;6.41;0.01;310.14
15097;1;0;20.3;0.09;1.88;343.03;0.08;50.16
16061;1;0;49.78;0.03;0;114.75;0.04;245.68
16768;1;0;53.66;0.07;2.3;95.17;0.06;261.01
16888;1;0;56.64;0;5.87;60.55;0.03;272.44
16661;1;1;64.74;0.86;5.45;43.4;0.03;149.53
17628;1;1;76.92;0.69;4.94;11.34;0.03;271.62
17214;1;1;79.2;0.5;3.47;14.65;0.03;218.72
16642;1;1;65.19;0.27;7.9;30.44;0.07;193.15
16932;1;1;60.63;0.31;8.21;39.96;0.04;170.87
17069;1;1;63.68;0.05;7.05;26.82;0.02;180.95
16930;1;1;63.84;0.04;2.54;32.58;0.02;169.26
17179;1;1;35.39;0;8.31;122;0.05;303.69
17636;1;1;74.32;0.17;6.41;4.72;0.00446738;242.56
14830;1;0;17.2;0;0.31;295.51;0.07;35.23
16658;1;1;61.06;0.1;2.67;54.13;0.05;150.24
16650;1;1;53.33;0.37;4.65;60.48;0.04;144.99
16380;1;0;64.77;0.33;2.38;49.79;0.04;145.97
17207;1;1;67.01;0.9;3.95;22.65;0.03;194.86
15927;1;0;40.95;0.08;0;146.13;0.05;243
16610;1;0;47.17;0.05;7.63;95.79;0.04;281.38
17071;1;1;67.56;0.23;5.56;24.55;0.03;187.06
16339;1;0;47.76;0.04;4.69;91.24;0.03;224.83
16908;1;1;55.68;0;14.16;93.44;0.06;263.18
17074;1;1;72.18;0.22;0;25.27;0.04;196.2
17212;1;1;79.24;0.14;6.28;19.68;0.02;236.31
17632;1;1;87.32;0.76;10.7;6.64;0.02;302.14
17208;1;1;68.87;0.19;4.92;24.65;0.02;197.64
16654;1;0;46.51;0.17;2.32;110.86;0.06;147.83
17491;1;1;87.08;0.2;3.54;10.79;0.01;291.66
14971;1;0;21.1;0.07;2.85;217.62;0.07;53.04
15503;1;0;25.43;0.47;0;218.82;0.08;132.67
17176;1;0;36.06;0;6.13;113.1;0.04;268.74
16651;1;0;48.93;0.22;1.72;59.37;0.04;137.21
17347;1;1;68.12;0.34;8.97;22.31;0.03;210.71
17210;1;1;75.95;0.64;1.99;19.2;0.01;218.69
16800;1;1;64.89;0.36;5.53;39.66;0.04;146.97
17631;1;1;86.82;0.55;3.86;7.92;0.02;308.89
15640;1;1;35.68;0;0;238.72;0.06;172.32
17211;1;1;77.02;0.008772712;3.9;18.86;0.02;225.9
17077;1;1;69.07;0.29;7.13;26.67;0.03;184.04
16774;1;1;66.8;0.45;0;79.1;0.06;246.17
17592;1;0;46.24;0;0.14;67.48;0.02;422.46
16635;1;1;60.01;0.07;0.13;103.82;0.06;231.14
16381;1;1;67.33;0.5;3.9;36.92;0.03;146.73
16471;1;1;44.93;0.02;7;123.93;0.05;281.6
16366;1;0;49.31;0.08;0.43;73.72;0.08;151.31
17456;1;1;44.76;0;3.41;86.58;0.02;469.44
16334;1;1;45.39;0;7.36;137.93;0.04;275.36
16357;1;0;43.3;0.5;0;177.86;0.07;187.93
16200;1;0;50.8;0.09;1.06;106.86;0.03;244.42
16062;1;1;47.62;0.18;0;120.17;0.05;233.43
16792;1;0;52.32;0.21;2.07;52.75;0.04;150.32
17770;1;1;84.91;0.91;0;9.7;0.02;320.5
16473;1;1;45.75;0.1;9.98;102.48;0.04;275.71
16790;1;1;59.73;0.25;6.42;38.1;0.03;159.37
17318;1;1;39.22;0;1.88;97.51;0.03;407.14
17771;1;0;84.65;0.93;0;7.19;0.02;312.99
17356;1;1;75.39;0.31;5.81;7.48;0.01;231.5
17595;1;0;44.86;0;0.22;72.03;0.01;468.1
15915;1;0;40.89;0.05;0;383.79;0.06;235.15
16476;1;0;48.96;0;9.31;81;0.02;230
17769;1;0;83.14;1;4.71;10.17;0.03;312.86
16511;1;1;39.66;0.36;3.43;79.86;0.05;123.72
16521;1;0;67.45;0.42;9.72;43.5;0.03;141.89
